pair_gene1	pair_gene2	pair_dN	pair_dS	pair_dN_dS
A30	A02	0.0852	0.047	1.80891719745223
A03	A02	0.0852	0	852
A03	A30	0	0.0477	0
A11	A02	0.0852	0	852
A11	A30	0	0.0477	0
A11	A03	0	0	0
A31	A02	0.0849	0.0475	1.78361344537815
A31	A30	0.0326	0	326
A31	A03	0.0326	0.0483	0.673553719008264
A31	A11	0.0326	0.0483	0.673553719008264
A74	A02	0.0673	0	673
A74	A30	0.0162	0.0478	0.338204592901879
A74	A03	0.0162	0	162
A74	A11	0.0162	0	162
A74	A31	0.0161	0.0484	0.331958762886598
A01	A02	0.121	0	1210
A01	A30	0.0664	0.0491	1.34959349593496
A01	A03	0.0664	0	664
A01	A11	0.0664	0	664
A01	A31	0.0661	0.0496	1.32997987927565
A01	A74	0.0492	0	492
A26	A02	0.123	0	1230
A26	A30	0.1036	0.0469	2.20425531914894
A26	A03	0.1036	0	1036
A26	A11	0.1036	0	1036
A26	A31	0.1032	0.0474	2.17263157894737
A26	A74	0.0853	0	853
A26	A01	0.0668	0	668
A29	A02	0.1426	0	1426
A29	A30	0.0676	0.0467	1.44444444444444
A29	A03	0.0676	0	676
A29	A11	0.0676	0	676
A29	A31	0.1034	0.0472	2.18604651162791
A29	A74	0.0854	0	854
A29	A01	0.0669	0	669
A29	A26	0.068	0	680
B56	A02	0.3114	0.0487	6.38114754098361
B56	A30	0.2519	0.1302	1.93323100537222
B56	A03	0.2519	0.0754	3.3364238410596
B56	A11	0.2519	0.0754	3.3364238410596
B56	A31	0.2964	0.1318	2.24715693707354
B56	A74	0.2742	0.0756	3.6221928665786
B56	A01	0.2603	0.0509	5.10392156862745
B56	A26	0.1895	0.0739	2.56081081081081
B56	A29	0.2322	0.0736	3.1506105834464
B35	A02	0.3112	0.0488	6.3640081799591
B35	A30	0.3213	0.1305	2.46018376722818
B35	A03	0.3213	0.0756	4.2443857331572
B35	A11	0.3213	0.0756	4.2443857331572
B35	A31	0.3199	0.1321	2.41981845688351
B35	A74	0.2971	0.0757	3.91952506596306
B35	A01	0.2826	0.051	5.53033268101761
B35	A26	0.2102	0.0741	2.83288409703504
B35	A29	0.3002	0.0738	4.06224627875507
B35	B56	0.1004	0	1004
B15	A02	0.2819	0.0645	4.36377708978328
B15	A30	0.2918	0.1467	1.98773841961853
B15	A03	0.2918	0.0916	3.18211559432933
