pair_gene1	pair_gene2	pair_dN	pair_dS	pair_dN_dS
7.1_YFV_CDS	8.1_Line_N	0.2917	0.2187	1.33318098720293
MHCY1d	8.1_Line_N	0.1904	0.1538	1.23716699155296
MHCY1d	7.1_YFV_CDS	0.1296	0.1694	0.764601769911504
MHCY13e	8.1_Line_N	0.2719	0.2171	1.25184162062615
MHCY13e	7.1_YFV_CDS	0.1466	0.1107	1.32310469314079
MHCY13e	MHCY1d	0.0973	0.1566	0.620931716656031
MHCYa	8.1_Line_N	0.1969	0.1323	1.48716012084592
MHCYa	7.1_YFV_CDS	0.1104	0.0552	1.99638336347197
MHCYa	MHCY1d	0.1136	0.1039	1.09230769230769
MHCYa	MHCY13e	0.0958	0.1649	0.580606060606061
5.1_Line_N	8.1_Line_N	0.202	0.0631	3.19620253164557
5.1_Line_N	7.1_YFV_CDS	0.1105	0.1144	0.965065502183406
5.1_Line_N	MHCY1d	0.1137	0.05	2.26946107784431
5.1_Line_N	MHCY13e	0.1131	0.1056	1.07000946073794
5.1_Line_N	MHCYa	0.0619	0.0526	1.17457305502846
